id,nom,prenom,genre,age,pays,ville,type_etablissement,etablissement,niveau,email,moyenne,absence,diplome
STU_000519,Jones,Emma,M,15,USA,Köln,High School,Yale University,Year 9,emily.wilson560@school.edu,16.739119306331823,2,A-Level
STU_000657,Roy,Léa,M,9,Allemagne,Tanger,Lycée,University of Oxford,Graduate,manon.thomas762@school.edu,24.562783100582294,8,Master's Degree
STU_001288,Thomas,Clara,M,14,USA,Meknès,University,Kant-Gymnasium,Graduate,ava.garcia234@school.edu,18.83274612183355,2,Doktor
STU_000659,Robert,Rachid,M,6,UK,Rabat,Lycée,Collège Voltaire,Junior,alejandro.perez49@school.edu,23.917476916459876,8,Grado
STU_001222,Benali,Marwa,M,8,USA,Ottawa,Primaria,Jefferson Elementary,Grade 12,lily.brown73@school.edu,21.409117294362687,8,Master
STU_000855,Fernández,Noah,F,9,USA,Houston,Secondary School,University of Toronto,Grade 9,lucía.martínez187@school.edu,12.52566037763264,8,Bachelor's Degree
STU_000404,López,Lucía,F,19,Espagne,Meknès,Universidad,Colegio Velázquez,CE2,lily.taylor388@school.edu,10.330598301517497,1,Bachillerato
STU_001317,Evans,Oliver,M,8,USA,Montreal,Middle School,Universität Hamburg,Grade 12,emilia.becker794@edu,19.366944055190523,8,Bachelor's
STU_000892,Meyer,Elias,M,5,Allemagne,München,Gymnasium,Humboldt-Gymnasium,Klasse 12,amelia.johnson343@school.edu,18.643769732313054,0,Abitur
STU_000153,García,Noah,M,7,Espagne,Marrakech,Primary School,École Pasteur,Klasse 4,ava.tremblay277@school.edu,21.045533365260493,9,PhD
STU_001361,Davis,Paul,M,9,USA,Paris,Secondary School,McGill University,1ère AC,ali.elamrani602@school.edu,18.99924706370436,10,ESO
STU_001693,Davies,Emily,M,12,Canada,Paris,High School,University of Oxford,3º ESO,john.jones363@school.edu,23.95083414863339,4,Brevet
STU_001206,Williams,Benjamin,M,8,USA,Liverpool,University,King's Primary School,Grade 6,chloe.thomas799@school.edu,25.160458944437764,4,PhD
STU_000067,Petit,Leo,F,21,Allemagne,München,Gymnasium,École Mohammed V,5ème,charlie.thomas252@edu,11.725316325146398,8,Doktor
STU_000265,Leroy,Fatima,M,5,UK,Liverpool,University,Westminster Primary,Grade 2,rachid.chakir252@school.edu,25.675238013766723,5,Bachelor's
STU_000553,Sqalli,Amine,M,10,Maroc,Düsseldorf,École Primaire,Université Grenoble Alpes,Klasse 3,pablo.fernández83@school.edu,19.120716337838637,8,Doctorado
STU_001950,Martin,Isabella,M,8,Maroc,Los Angeles,Secondary School,Cambridge High School,First Year,mathis.dupont283@school.edu,17.06851567006772,2,GCSE
STU_000402,Schneider,Paula,M,6,Canada,Oxford,École Primaire,Mozart Grundschule,Klasse 3,laila.benjelloun266@school.edu,25.666249082509093,3,Baccalauréat
STU_000353,Schmidt,Youssef,F,10,France,Lille,Collège,Oxford High School,CM1,mathis.simon230@school.edu,10.212125088228815,9,Certificat Primaire
STU_000729,Wilson,Noah,M,8,Canada,Toronto,Lycée,Lincoln Elementary,Grade 10,felix.schmidt935@school.edu,25.78232510737875,0,PhD
STU_000991,Sqalli,Olivia,M,22,Maroc,Berlin,Secundaria,Adams Middle School,5ème,mehdi.elamrani944@school.edu,18.27900073856754,6,Baccalauréat
STU_000251,Williams,Ali,M,15,UK,Düsseldorf,High School,Université Grenoble Alpes,Year 11,daniel.smith694@school.edu,19.908440500005504,4,Master
STU_000621,Hoffmann,Emilia,F,10,UK,Oujda,Lycée,Universität München,4ème année,felix.schmidt935@school.edu,9.23626794444119,15,Baccalauréat
STU_001802,Sánchez,Mia,M,18,Maroc,Tanger,Primaria,Mozart Grundschule,Senior,emily.brown851@school.edu,20.582460657466353,7,Baccalauréat
STU_000267,Wagner,Clara,M,9,Allemagne,Berlin,Gymnasium,Universität Heidelberg,4. Semester,lucía.garcía602@school.edu,25.32227906639907,8,Abitur
STU_000008,Taylor,Marwa,F,18,Allemagne,Marseille,Lycée,École Jean Jaurès,2º Bachillerato,rachid.chakir252@school.edu,8.93078632132532,8,Baccalauréat
STU_001502,Davies,Raphaël,M,11,Maroc,Winnipeg,Middle School,University of Alberta,Máster,raphaël.durand702@school.edu,15.748050812640514,13,PhD
STU_001796,El Amrani,Daniel,M,8,Canada,Düsseldorf,Elementary School,Schiller-Gymnasium,Grade 5,isabella.wilson819@school.edu,19.995419216415733,2,Grado
STU_001555,Jones,Raphaël,F,8,Canada,Marseille,Secondary School,Goethe-Gymnasium,Grade 12,alejandro.perez49@school.edu,12.717543047835065,9,Bachelor
STU_001860,Simon,Ben,M,8,Maroc,Strasbourg,École Primaire,Lycée Hassan II,Grade 2,olivia.wilson727@edu,17.262952591709336,4,Brevet
STU_000838,Hoffmann,Paula,F,10,USA,Nantes,Collège,Montreal High School,Master 2,thomas.davis746@edu,9.08157055077092,8,Bachelor's
STU_000063,López,Fatima,F,9,Espagne,Zaragoza,Primaria,Instituto Lope de Vega,3º Curso,lucía.garcía602@school.edu,9.427184380015824,4,ESO
STU_000983,Leroy,Oliver,M,14,France,Toulouse,Primary School,Instituto Ramón y Cajal,Grade 7,william.wilson520@school.edu,18.938920235186302,-1,Master
STU_001531,Williams,Ava,F,10,Canada,Montreal,Primary School,Universität München,Year 3,paula.fernández826@school.edu,9.449337040225316,7,Bachelor's
STU_001693,Dupont,Mehdi,M,19,Espagne,Valencia,High School,Universidad Complutense,Grade 1,isabella.johnson956@school.edu,20.340221709064917,4,PhD
STU_001438,Schneider,Zoé,M,19,Canada,Quebec City,Primary School,Collège Averroès,4º ESO,noah.taylor975@school.edu,22.32912282220237,2,PhD
STU_000504,MacDonald,Lucas,F,8,Allemagne,Hamburg,École Primaire,Schiller Grundschule,Licence 2,jacob.evans832@school.edu,11.082104577009147,1,Master
STU_001498,Williams,Sophia,M,5,USA,Chicago,Secondary School,Oxford High School,Grade 5,matthew.johnson787@school.edu,23.856730087840777,1,High School Diploma
STU_000478,Schmidt,Omar,F,5,Allemagne,Hamburg,Grundschule,Instituto Ramón y Cajal,5ème,matthew.martinez802@edu,9.463833906137769,6,Máster
STU_001377,Jones,Jacob,M,10,France,Tanger,École Primaire,Jefferson Elementary,Tronc Commun,anna.muller39@school.edu,23.884087046451636,5,Licence
STU_000293,Dupont,Zoé,M,15,Maroc,Oujda,Université,Lycée Condorcet,2ème année,lucas.simon673@school.edu,21.615696355556548,1,Baccalauréat
STU_000495,Wilson,Emily,M,7,UK,London,Secondary School,Cedar Elementary,Klasse 2,salma.bennani176@school.edu,16.426261884420786,7,High School Diploma
STU_001244,MacDonald,Poppy,M,6,Allemagne,Ottawa,Universität,Franklin Middle School,6º Primaria,jack.williams437@school.edu,19.115103102236425,8,Doctorado
STU_001633,Schmidt,Omar,M,5,Allemagne,Hamburg,Universität,Universität Heidelberg,CP,karim.tazi959@edu,17.5926432860589,8,Doktor
STU_000753,Hoffmann,Evelyn,F,9,UK,München,Grundschule,Goethe Grundschule,2º ESO,emily.martin24@school.edu,8.629539694759195,1,Abitur
STU_000964,Martin,Sophia,M,14,Canada,Calgary,Grundschule,Stanford University,S3,mia.wagner484@school.edu,25.38945418337922,8,Bachelor's Degree
STU_001508,Davis,Ethan,M,5,Canada,Valencia,Secondary School,École Mohammed V,Grade 4,mia.schulz802@school.edu,21.13690098634457,0,Brevet
STU_001825,Rodríguez,Amina,F,12,Espagne,Sevilla,Universidad,Instituto Lope de Vega,Klasse 10,amina.benali580@school.edu,12.449308692869725,10,ESO
STU_001902,Rodriguez,Ikram,M,10,USA,Birmingham,University,Colegio Velázquez,Senior,nour.tazi916@school.edu,24.196077196653007,17,A-Level
STU_000315,Schneider,Ahmed,F,10,Maroc,Agadir,Lycée,University of Cambridge,1ère AC,oliver.wilson463@school.edu,10.104199237822698,9,Máster
