id,nom,prenom,genre,age,pays,ville,type_etablissement,etablissement,niveau,email,moyenne,absence,diplome
STU_000445,Wilson,Charlotte,m,6,Canada,Liverpool,Primary School,Oak Elementary,Second Year,lukas.schmidt671@edu,25.657058863920938,8,PhD
STU_000539,Hoffmann,Lea,f,12,Maroc,Lyon,Université,Lycée Descartes,Klasse 3,sophia.brown328@school.edu,9.149547750186699,8,Certificat Primaire
STU_000940,Weber,Marwa,m,23,France,London,Gymnasium,École Pasteur,CE2,liam.johnson622@school.edu,20.421328631890137,3,Master
STU_001268,Brown,William,m,8,UK,Ottawa,Secondary School,King's Primary School,Klasse 1,alexander.smith460@school.edu,23.223604802655046,8,Master's
STU_001118,Brown,Arthur,m,12,Canada,Montreal,Primary School,Lycée Moulay Youssef,3ème AC,martín.martínez797@edu,24.57955140260814,8,PhD
STU_000227,Rodriguez,Jules,m,3,USA,Stuttgart,Middle School,Instituto Lope de Vega,Grade 8,john.rodriguez982@edu,18.2373547812812,7,PhD
STU_000073,Robert,Sophia,m,8,Espagne,New York,Université,University of Oxford,Year 10,emma.anderson705@school.edu,24.811169085365155,6,Bachelor
STU_000264,Bennani,Charlie,m,8,Canada,London,Secondary School,Maple Elementary,Sophomore,jack.williams437@school.edu,24.99736582282381,10,PhD
STU_001378,Brown,Ethan,m,5,USA,Granada,Lycée,Stanford University,Year 10,lina.schulz827@school.edu,20.43477386240837,7,A-Level
STU_001976,González,Sofía,f,21,Espagne,Málaga,Secundaria,Colegio Cervantes,1º Curso,emma.tremblay543@edu,8.72422470504539,10,Bachillerato
STU_000795,Müller,Emma,m,15,UK,Toulouse,Lycée,Lycée Henri IV,Grade 2,emma.becker765@edu,20.235278054329328,8,Master
STU_000521,Benjelloun,Laila,m,7,Maroc,Oujda,Lycée,Washington Elementary,Master 2,liam.wilson601@school.edu,19.249550374482595,9,High School Diploma
STU_001947,Bennani,Daniela,f,10,Espagne,Toulouse,Universidad,Colegio Picasso,2º Curso,mehdi.sqalli405@school.edu,11.316015244623015,7,ESO
STU_001440,Thomas,Emma,m,9,France,Oujda,École Primaire,Lycée Mohammed V,3ème AC,liam.wilson601@school.edu,20.335102193878427,4,Baccalauréat
STU_001918,Rodríguez,James,f,12,Espagne,Zaragoza,Secundaria,University of Cambridge,1º Curso,clara.robert889@school.edu,10.442448318620373,9,Certificat Primaire
STU_001207,Petit,Ikram,f,21,Maroc,Fès,École Primaire,Université Hassan II,Junior,daniel.lópez684@edu,10.301646245924623,9,Doctorat
STU_001778,Johnson,Amelia,m,4,USA,Winnipeg,Secondary School,Maple Elementary,Graduate,lucas.martin315@school.edu,18.658603212021486,9,Bachelor's Degree
STU_001800,Schneider,Daniela,m,20,Allemagne,Zaragoza,Gymnasium,École Élémentaire Victor Hugo,1ère Bac,harry.jones509@school.edu,17.760920116998374,5,Doktor
STU_000192,Davis,Lily,m,10,USA,Berlin,Secundaria,Montreal High School,Year 6,mia.becker793@school.edu,23.987579138412475,0,Brevet
STU_000899,González,María,f,10,Espagne,Zaragoza,Primaria,TU Berlin,Máster,jules.martin137@edu,12.748162921231197,1,ESO
