nom,prenom,genre,Date_de_naissance,Lieu_de_naissance,nationalite,ville,pays,age
Benali,Pierre,M,2021-01-10,Option B,Espagnole,Rabat,Australie,33
Dubois,Mehdi,M,2021-07-09,Option B,Française,Fès,Japon,22
El Amrani,Michael,M,2022-11-18,Option B,Marocaine,Rabat,Japon,58
El Idrissi,Claire,F,2022-03-11,Option C,Marocaine,Rabat,Portugal,49
El Amrani,Nicolas,F,2023-12-17,Option C,Marocaine,Kenitra,Belgique,24
Jones,Joseph,M,2023-10-17,Option C,Marocaine,Fès,Brésil,37
Martin,Salma,F,2022-07-04,Option A,Marocaine,Marseille,Espagne,56
Miller,Claire,F,2021-04-07,Option A,Française,New York,Espagne,46
Richard,Mary,F,2020-04-16,Option B,Canadienne,Madrid,UK,30
Richard,Sophie,M,2020-12-29,Option C,Française,Rome,Suisse,43
Garcia,Julien,M,2022-10-19,Option B,Américaine,Oujda,Tunisie,27
Brown,David,M,2022-01-30,Option A,Marocaine,Lisbonne,Maroc,60
Jones,William,M,2023-07-02,Option B,Française,New York,Espagne,28
Bernard,Chloé,F,2023-10-26,Option B,Américaine,Kenitra,Maroc,60
El Idrissi,Mary,F,2022-08-22,Option B,Canadienne,Kenitra,Espagne,26
Bernard,Elizabeth,M,2023-05-03,Option B,Américaine,Rabat,Tunisie,46
Khaled,Mathieu,M,2021-11-02,Option C,Japonaise,Londres,Mexique,32
Martin,Patricia,F,2021-07-22,Option C,Canadienne,Fès,UK,59
Jones,Antoine,M,2021-05-13,Option A,Française,Bruxelles,Allemagne,44
El Idrissi,Marc,M,2022-06-26,Option C,Marocaine,Berlin,Argentine,36
Johnson,Patricia,M,2020-03-21,Option C,Japonaise,Montreal,USA,36
Robert,Susan,M,2021-06-13,Option B,Marocaine,Madrid,Suisse,33
Williams,Marc,M,2021-10-22,Option C,Canadienne,Rabat,Australie,44
Richard,Karim,F,2022-03-11,Option C,Canadienne,Tokyo,Allemagne,23
Laurent,Barbara,F,2021-12-01,Option A,Canadienne,Agadir,USA,22
Williams,Karim,F,2023-02-08,Option A,Allemande,Marseille,Brésil,46
Richard,Hassan,F,2020-08-25,Option B,Japonaise,Genève,Belgique,38
Jones,Ikram,F,2022-08-27,Option B,Canadienne,Meknès,Espagne,30
Mohamed,Mathieu,M,2023-02-04,Option B,Américaine,Meknès,UK,60
Bernard,Chloé,F,2021-09-14,Option C,Canadienne,Montreal,Suisse,27
Jones,Antoine,M,2022-08-08,Option C,Française,Tanger,Espagne,43
Richard,Salma,F,2022-01-19,Option B,Française,Lisbonne,Japon,53
Bernard,Marc,F,2023-08-30,Option C,Allemande,Paris,Australie,26
Fathy,Sophie,M,2020-04-25,Option B,Allemande,Marrakech,France,60
Bernard,Sanae,F,2021-10-07,Option A,Canadienne,Rome,Allemagne,23
Garcia,James,M,2020-02-15,Option C,Américaine,New York,Espagne,63
Lahlou,Luc,M,2022-11-19,Option B,Américaine,Meknès,Australie,32
Benali,Michael,M,2020-04-16,Option B,Américaine,Montreal,UK,32
El Amrani,Chloé,F,2021-09-24,Option B,Canadienne,Fès,Australie,43
Garcia,William,F,2020-06-20,Option C,Allemande,Tokyo,Espagne,32
Jones,Louis,M,2021-07-12,Option A,Marocaine,Madrid,UK,31
Mohamed,Aicha,M,2020-01-01,Option C,Japonaise,Marrakech,Chine,38
El Amrani,Marc,F,2022-01-24,Option A,Américaine,Genève,Chine,35
Martin,Christopher,M,2023-10-29,Option C,Marocaine,Rabat,UK,28
El Idrissi,Sophie,F,2023-08-02,Option C,Marocaine,Rabat,France,37
El Amrani,Salma,M,2022-02-15,Option B,Française,Toulouse,UK,45
Garcia,Thomas,M,2022-12-18,Option C,Française,Londres,Mexique,19
Miller,Rachid,F,2023-05-17,Option B,Canadienne,Rabat,Suisse,36
Garcia,Elizabeth,M,2021-02-14,Option C,Marocaine,New York,Italie,59
Hassan,Laila,M,2020-06-22,Option C,Canadienne,Berlin,Argentine,24
Miller,Louis,M,2020-02-23,Option A,Française,Lyon,Italie,63
Bernard,Aicha,F,2021-07-31,Option A,Française,Bruxelles,Allemagne,58
Robert,Camille,F,2020-12-12,Option C,Canadienne,Meknès,Maroc,22
Smith,Sarah,M,2022-11-25,Option A,Marocaine,Tokyo,Inde,35
El Amrani,Aicha,M,2023-06-23,Option B,Japonaise,Madrid,Égypte,63
Martin,Julien,F,2021-03-06,Option C,Américaine,Casablanca,Japon,40
Martin,Patricia,F,2020-03-12,Option C,Espagnole,Marseille,UK,23
Martin,Michael,M,2020-09-01,Option A,Française,Fès,Allemagne,64
Rodriguez,Zineb,F,2020-10-12,Option B,Française,Bruxelles,Brésil,41
Martin,Julien,M,2021-12-08,Option B,Française,Madrid,UK,41
Martin,James,M,2020-03-27,Option B,Marocaine,Fès,Allemagne,28
Bernard,Karim,F,2022-06-14,Option C,Canadienne,Lyon,Australie,38
Chentouf,Camille,F,2022-04-22,Option C,Française,Tétouan,Espagne,49
Adel,Julien,M,2021-10-22,Option C,Française,Rabat,Argentine,58
Rodriguez,Julie,F,2021-10-09,Option B,Canadienne,Marseille,Mexique,36
Jones,Patricia,F,2020-12-21,Option A,Française,Rabat,Brésil,54
El Amrani,Julie,F,2023-10-31,Option C,Marocaine,New York,Italie,32
Mahmoud,Pierre,M,2022-04-29,Option B,Française,Kenitra,Allemagne,34
Hassan,Fatima,F,2020-01-12,Option B,Marocaine,Montreal,Belgique,29
