id,nom,prenom,genre,age,pays,ville,type_etablissement,etablissement,niveau,email,moyenne,absence,diplome
STU_001552,Johnson,Amelia,M,9,Espagne,Ottawa,University,Einstein Grundschule,Third Year,liam.anderson995@school.edu,12.142351627281343,9,GCSE
STU_000039,Bennani,Noah,F,15,Canada,Casablanca,Lycée,École Hassan II,3º Curso,mia.williams204@school.edu,13.357341527914404,4,Master
STU_000966,Petit,Léo,M,10,France,Toulouse,Université,École Hassan II,Klasse 2,elias.weber654@school.edu,14.109068167612273,6,Master
STU_000024,García,Ava,F,8,Espagne,Málaga,Secundaria,Universidad de Barcelona,3º Curso,youssef.elamrani277@school.edu,17.278257947063395,9,Doctorado
STU_000421,Simon,Jacob,F,8,Canada,Oxford,Collège,Collège Molière,CP,noah.roy505@school.edu,16.002478990424546,6,Master
STU_000194,Bennani,Emily,M,13,Allemagne,Nantes,Lycée,Collège Jean Moulin,6ème,amelia.johnson985@school.edu,16.987696665714537,5,Master
STU_001103,Meyer,Paula,M,7,France,Tanger,Lycée,Lycée Descartes,2º ESO,charlotte.anderson987@edu,12.506023934658069,9,Certificat Primaire
STU_001608,Johnson,William,M,20,Maroc,Nantes,University,Madison Middle School,Year 1,marie.weber606@school.edu,14.371949994661026,1,PhD
STU_000991,Taylor,Poppy,F,8,USA,San Francisco,Secondary School,Oxford High School,Grade 7,charlotte.macdonald810@school.edu,13.916266966137481,5,PhD
STU_001847,Smith,Olivia,M,7,UK,Edmonton,Secondary School,Pine Elementary,Third Year,ben.schulz723@school.edu,13.781522936439416,9,Master's
STU_000652,López,Sofía,F,20,Espagne,Zaragoza,Secundaria,Universidad Complutense,1º Curso,daniela.gómez618@school.edu,13.641824400234382,4,Bachillerato
STU_000754,Sánchez,Daniela,F,11,Espagne,Liverpool,Universidad,Universidad Complutense,2. Semester,karim.fassi657@edu,15.926750768538518,4,Máster
STU_000459,González,Lucía,F,22,Espagne,Valencia,Universidad,Universidad de Barcelona,3ème AC,daniel.smith694@school.edu,16.80527607195812,8,ESO
STU_001724,Wilson,Amelia,M,7,UK,Winnipeg,Secondary School,Cambridge High School,Grade 5,harry.smith467@school.edu,16.85101206129868,1,High School Diploma
STU_000161,Thomas,Harry,M,10,Maroc,Köln,Secondary School,Lycée Louis le Grand,1ère année,harper.rodriguez52@school.edu,16.820121529660934,3,Baccalauréat
STU_001126,González,Lucía,F,20,Espagne,Sevilla,Universidad,Colegio Picasso,1º Bachillerato,emma.durand799@school.edu,15.69689346129805,4,Máster
STU_001190,Johnson,Ali,M,12,Allemagne,Montreal,High School,Instituto Ramón y Cajal,Sophomore,james.martinez193@edu,15.799184246907776,8,Abitur
STU_001528,Thomas,Martina,M,10,Espagne,Lille,Primaria,Instituto Giner de los Ríos,2ème Bac,benjamin.martin40@school.edu,16.39416618276551,9,Doctorado
STU_001149,Weber,Valeria,M,9,France,Marseille,Secundaria,Lycée Descartes,CM1,jonas.schulz479@school.edu,12.972394337267966,9,Doctorat
STU_000898,Sqalli,Ikram,M,10,USA,Stuttgart,Lycée,Schiller-Gymnasium,6ème,fatima.sqalli958@school.edu,15.961583618707921,12,Licence
STU_001488,Johnson,Amelia,M,8,UK,Houston,Middle School,LSE,Freshman,elias.schulz114@school.edu,16.388114656633487,10,Bachelor's Degree
STU_000212,Brown,Liam,M,8,Canada,Houston,Secondary School,École Jules Ferry,Seconde,oliver.jones747@school.edu,12.274870359240001,11,Master's
STU_001505,López,Sofía,F,10,Espagne,Edmonton,Secundaria,Universidad Complutense,1º ESO,sanae.benjelloun463@school.edu,12.035319764700528,6,Bachillerato
STU_001636,Jones,Oliver,M,5,UK,Oxford,University,UCL,Grade 9,arthur.dupont667@school.edu,13.598796090231932,10,Bachelor's
STU_000496,Sánchez,Finn,M,12,Allemagne,Düsseldorf,École Primaire,Toronto High School,4ème,jack.anderson560@school.edu,16.241251101657745,9,Bachelor
STU_001309,Schneider,Lily,F,22,Maroc,Fès,Collège,École Ibn Sina,Postgraduate,noah.durand616@school.edu,16.294667034116305,14,Grado
STU_001135,Garcia,Ikram,M,8,Allemagne,Düsseldorf,Lycée,Schiller-Gymnasium,Year 1,thomas.taylor500@edu,12.951692164416434,6,Licence
STU_000236,Sqalli,Hugo,M,14,Espagne,Madrid,Primary School,Pine Elementary,6ème année,nour.elamrani708@edu,13.346679635178656,1,Bachelor
STU_001553,Brown,Oscar,F,9,UK,Bristol,University,King's Primary School,Second Year,thomas.evans748@school.edu,12.788007877570678,2,GCSE
STU_000389,Thomas,Marwa,M,14,Maroc,Lille,École Primaire,Lycée Condorcet,5. Semester,jules.bernard77@school.edu,13.459013816649627,12,Certificat Primaire
STU_000685,Idrissi,Sanae,M,18,Allemagne,Bilbao,Université,Instituto Ramón y Cajal,Klasse 4,martín.perez766@school.edu,10.70814716766892,2,PhD
STU_000357,Fassi,Noah,M,10,Canada,Leipzig,École Primaire,Universidad de Salamanca,3º ESO,ava.tremblay277@school.edu,14.04464452466185,5,Master
STU_000174,Simon,Daniel,M,7,Canada,Edmonton,Lycée,Victoria Primary,Grade 3,james.roy430@edu,16.799436671068797,9,Licence
STU_001053,Fassi,Lena,M,14,France,Lyon,University,Franklin Middle School,1º Bachillerato,lina.fischer247@school.edu,16.9864902654458,7,Master
STU_000481,Davies,Isla,M,8,Canada,Seattle,Secondary School,Victoria Primary,Postgraduate,youssef.bennani739@school.edu,12.697355401944362,3,Bachelor's Degree
STU_000102,López,Youssef,F,15,France,Fès,Université,Colegio Cervantes,Year 12,james.wilson672@school.edu,12.40347595664142,1,Licence
