id,nom,prenom,genre,age,pays,ville,type_etablissement,etablissement,niveau,email,moyenne,absence,diplome
STU_001798,López,Zoé,f,23,Espagne,Bilbao,Primaria,Universidad de Barcelona,1º Curso,john.rodriguez982@edu,12.763614030686536,8,Brevet
STU_000586,Smith,Lucas,f,9,UK,Tanger,Primary School,Cedar Elementary,Grade 9,clara.simon747@edu,10.695508382783405,0,PhD
STU_000342,Thomas,William,m,10,USA,Los Angeles,Middle School,Kennedy Middle School,Klasse 3,emma.davis414@school.edu,9.839930893661885,8,Master's
STU_000896,Moreau,Ali,m,22,Canada,Bordeaux,Lycée,Lycée Janson de Sailly,2ème Bac,william.johnson549@school.edu,9.259680623074019,9,Baccalauréat
STU_001599,Fischer,Martín,f,13,France,Strasbourg,Elementary School,Lycée Louis le Grand,Year 8,emily.tremblay920@school.edu,8.272223931811839,2,Abitur
STU_001989,Taylor,Salma,m,8,Canada,Liverpool,Secondary School,North High School,Grade 11,amelia.taylor335@edu,12.806399739031939,8,Bachelor's
STU_000912,Martin,Isabella,m,8,Allemagne,Edmonton,Secondary School,Eton College,Grade 8,hugo.lópez200@school.edu,9.854381368631794,9,Máster
STU_000006,Benali,Lina,f,20,Allemagne,München,Grundschule,Collège Voltaire,Tronc Commun,jack.johnson113@school.edu,9.004251224695539,9,Abitur
STU_000765,García,Álvaro,m,5,USA,Birmingham,Secundaria,Toronto High School,Third Year,clara.durand260@school.edu,11.892836837295363,5,PhD
STU_000471,Davies,Marie,m,9,Maroc,Boston,Primary School,Universidad de Barcelona,Première,isabella.thomas933@school.edu,12.779676053693409,10,Master
STU_000616,Taylor,Oliver,m,7,USA,San Francisco,Secondary School,Central High School,CP,rachid.fassi583@school.edu,9.942085127328864,9,Master's Degree
STU_000413,Johnson,Daniel,m,7,Canada,Cambridge,Secondary School,École Jules Ferry,Year 8,harper.brown709@school.edu,12.901946938151784,1,Master's
STU_000169,Schmidt,Ava,f,8,Allemagne,Marseille,Secondary School,Université Cadi Ayyad,4º ESO,emily.tremblay920@school.edu,9.048553589424241,1,Doktor
STU_001379,Gómez,David,f,17,France,Berlin,Collège,Instituto Lope de Vega,CP,alexander.smith732@school.edu,12.03829634488661,4,Certificat Primaire
STU_000807,Schmidt,Manuel,f,10,France,Lille,École Primaire,Université Paris-Saclay,1º ESO,isabella.brown328@school.edu,9.4135458452179,17,Certificat Primaire
STU_000390,Martin,Emily,f,4,USA,Granada,Secondary School,Kennedy Middle School,3ème AC,john.garcia449@school.edu,10.347453800310351,7,PhD
STU_001183,García,Joseph,m,13,Allemagne,Edmonton,Primaria,Universität Heidelberg,4º ESO,emma.durand799@school.edu,11.343382226062113,8,Licence
STU_001662,Fischer,Anna,m,9,USA,Boston,Secondary School,Westminster School,Grade 5,david.brown839@school.edu,9.479941206715125,8,Master
STU_001873,Williams,Ava,m,8,Canada,Seattle,Primary School,École Al Massira,4º Primaria,hugo.bernard934@school.edu,12.462930086988933,8,Bachelor's Degree
STU_000174,Wilson,Ava,m,8,Canada,Fès,École Primaire,Collège Averroès,4. Semester,isabella.thomas434@school.edu,9.310135494226955,1,Master
STU_000520,Alaoui,Hugo,m,16,Maroc,Nantes,Lycée,Kennedy Middle School,4º Curso,finn.fischer505@school.edu,8.940225015482904,1,Máster
STU_000039,Petit,Jules,m,11,France,Agadir,Collège,North High School,2ème AC,thomas.evans665@school.edu,9.865858466147781,5,Abitur
STU_000035,Garcia,Jack,m,8,UK,Quebec City,Secondary School,Westminster School,First Year,alba.fernández433@school.edu,7.751022394449169,1,High School Diploma
STU_000318,Sánchez,Clara,m,14,France,Bordeaux,Lycée,École Mohammed V,Máster,matthew.smith485@edu,9.291201500447535,8,Baccalauréat
STU_000637,Davies,Emma,m,9,Canada,Oxford,Secondary School,Imperial College London,Grade 4,harry.davies592@school.edu,9.774023396742436,3,Master's
STU_000953,Moreau,Salma,m,9,France,Vancouver,Collège,École Mohammed V,Year 4,emily.roy866@school.edu,11.478723442254289,6,Master
STU_001647,Anderson,Harry,m,8,Canada,Edinburgh,Elementary School,École Al Massira,Grade 11,louise.simon695@school.edu,9.012109949982916,8,Licence
STU_000805,Moreau,Aicha,f,9,Maroc,Lille,École Primaire,Colegio Velázquez,6ème,lukas.fischer365@school.edu,9.158600174352355,9,Master
STU_001793,Weber,Marie,f,19,Allemagne,München,Grundschule,Kant-Gymnasium,Klasse 9,isabella.evans348@school.edu,10.079939201153014,5,Doktor
