id,nom,prenom,genre,age,pays,ville,type_etablissement,etablissement,niveau,email,moyenne,absence,diplome
STU_001728,Dupont,Oscar,f,8,Canada,Tanger,Lycée,Collège Al Ghazali,3ème AC,joseph.brown47@school.edu,20.67869047323351,16,Master
STU_001768,Taylor,Paul,m,7,Canada,Oxford,Elementary School,Roosevelt Elementary,Grade 3,elias.hoffmann506@school.edu,9.860456131772121,4,Master
STU_001880,MacDonald,Oliver,m,17,Espagne,Houston,Universität,Lycée Descartes,Senior,mohamed.fassi615@school.edu,9.423784708160673,8,PhD
STU_000644,Becker,Noah,m,12,Allemagne,New York,Gymnasium,Lycée Moulay Youssef,5ème,william.garcia535@school.edu,12.436124620916235,9,Bachelor's Degree
STU_001883,Williams,Harry,m,7,Canada,Cambridge,Secondary School,Lycée Mohammed V,6ème,leo.rodríguez441@edu,10.065928255945963,9,Master
STU_000613,Leroy,Sophia,m,16,Allemagne,Edmonton,Middle School,Collège Jean Moulin,Year 11,james.jones420@school.edu,9.665525781366625,5,High School Diploma
STU_000177,García,Mateo,f,18,Espagne,Edmonton,Secundaria,Kennedy Middle School,1º ESO,gabriel.thomas792@school.edu,19.31065511018779,6,Bachillerato
STU_000327,Martin,Emily,m,19,Espagne,Toulouse,Lycée,Collège Ibn Khaldoun,3ème AC,alexander.tremblay165@school.edu,11.07388633353289,8,PhD
STU_001763,Leroy,Mia,m,22,Allemagne,Frankfurt,Lycée,École Pasteur,2ème Bac,aicha.tazi126@edu,9.423810820031376,4,Certificat Primaire
STU_000199,Davies,Laila,m,11,France,Casablanca,École Primaire,University of Toronto,5ème année,lena.becker296@school.edu,10.014975619463105,8,Baccalauréat
STU_001542,Anderson,Jessica,m,5,France,Edmonton,École Primaire,Instituto Giner de los Ríos,Postgraduate,benjamin.smith243@edu,11.246196346117477,4,Bachelor's
STU_000309,Leroy,Louis,m,11,France,Hamburg,Université,Humboldt-Gymnasium,4º Primaria,noah.thomas750@school.edu,9.080712898373118,9,Brevet
STU_001442,Leroy,Marwa,f,21,Maroc,Tanger,Collège,Lycée Janson de Sailly,3ème AC,daniela.lópez320@edu,18.98448692189301,5,Doctorat
STU_001950,Fassi,Hannah,m,20,Canada,Oxford,Gymnasium,Universidad Complutense,1º ESO,isla.davies543@school.edu,12.653787705804053,8,Bachelor's Degree
STU_000808,López,Lucía,f,8,Espagne,Zaragoza,Universidad,Universidad de Barcelona,Grade 9,amina.idrissi670@school.edu,22.015443171212347,9,Bachillerato
STU_000049,Roy,María,m,15,Allemagne,Hamburg,École Primaire,Schiller Grundschule,6º Primaria,clara.dupont588@school.edu,12.635787009214312,2,Master
STU_000315,Petit,Nour,m,11,USA,Berlin,Université,Université Lyon 1,5º Primaria,michael.brown319@school.edu,12.061889218006662,4,Master
STU_001674,Williams,Laila,f,8,Canada,Edmonton,University,Pine Elementary,Klasse 2,leon.muller222@school.edu,23.725848275336126,10,Bachelor's Degree
STU_001813,Leroy,Jack,m,24,France,Tanger,Lycée,École Ibn Sina,2ème Bac,amelia.johnson483@school.edu,11.869126629297984,3,Brevet
STU_001916,Bennani,David,m,8,Maroc,Nantes,Collège,Imperial College London,Junior,noah.smith646@school.edu,9.474123838233012,4,Licence
STU_001955,Taylor,Sarah,m,7,Espagne,Marseille,Elementary School,Lycée Hassan II,Klasse 1,lucas.tremblay826@school.edu,9.9423546047828,8,Abitur
STU_000294,Bernard,Lucía,f,24,Espagne,Sevilla,Universidad,Instituto Lope de Vega,3º Curso,amelia.taylor542@school.edu,24.582514123772846,1,Máster
STU_000171,Benali,Hugo,f,14,Maroc,Lyon,Lycée,Sorbonne Université,4. Semester,oliver.jones747@school.edu,23.424941894590738,17,Licence
STU_000911,MacDonald,Anthony,m,22,Maroc,Vancouver,Lycée,Collège Voltaire,Klasse 6,jack.davies46@school.edu,9.628133371862951,8,Licence
STU_000419,López,Louis,m,17,Allemagne,Frankfurt,Secondary School,École Pasteur,Klasse 9,ines.simon769@school.edu,9.909472781667661,4,Master
STU_000099,González,Martín,m,5,France,Barcelona,École Primaire,Kennedy Middle School,Première,sophia.smith227@school.edu,10.315687270499145,2,Brevet
STU_000326,Petit,Martín,m,22,Maroc,Lyon,École Primaire,UCL,6ème,charlie.williams196@school.edu,12.11268882882906,9,Baccalauréat
STU_000044,Thomas,Jack,m,5,UK,Liverpool,Secondary School,Universität Heidelberg,1º Bachillerato,amelia.thomas61@school.edu,9.87276429609025,2,GCSE
STU_000076,Müller,Jonas,m,21,Allemagne,Barcelona,Universität,LSE,2ème Bac,aicha.chakir571@school.edu,11.712687871997245,0,Bachelor
STU_000861,Fischer,Jonas,f,8,Allemagne,Meknès,Middle School,LSE,Klasse 3,emma.petit92@school.edu,21.338076340779843,4,Máster
STU_000799,Smith,Chloé,m,8,Allemagne,Manchester,Universität,Université Hassan II,Year 10,ikram.elamrani573@edu,9.936145647688015,3,Master
STU_000670,Schulz,Emma,m,7,Allemagne,Lille,École Primaire,École Hassan II,Klasse 1,elias.meyer865@school.edu,12.42074587174913,8,Baccalauréat
