nom,prenom,genre,Date_de_naissance,Lieu_de_naissance,nationalite,ville,pays,age
Benali,Pierre,m,2021-01-10,Option B,Espagnole,Rabat,Australie,49.5
Dubois,Mehdi,m,2021-07-09,Option B,Française,Fès,Japon,33.0
El Amrani,Michael,m,2022-11-18,Option B,Marocaine,Rabat,Japon,87.0
El Idrissi,Claire,f,2022-03-11,Option C,Marocaine,Rabat,Portugal,36.75
El Amrani,Nicolas,f,2023-12-17,Option C,Marocaine,Kenitra,Belgique,18.0
Jones,Joseph,m,2023-10-17,Option C,Marocaine,Fès,Brésil,55.5
Martin,Salma,f,2022-07-04,Option A,Marocaine,Marseille,Espagne,42.0
Miller,Claire,f,2021-04-07,Option A,Française,New York,Espagne,34.5
Richard,Mary,f,2020-04-16,Option B,Canadienne,Madrid,UK,22.5
Richard,Sophie,m,2020-12-29,Option C,Française,Rome,Suisse,64.5
Garcia,Julien,m,2022-10-19,Option B,Américaine,Oujda,Tunisie,40.5
Brown,David,m,2022-01-30,Option A,Marocaine,Lisbonne,Maroc,90.0
Jones,William,m,2023-07-02,Option B,Française,New York,Espagne,42.0
Bernard,Chloé,f,2023-10-26,Option B,Américaine,Kenitra,Maroc,45.0
El Idrissi,Mary,f,2022-08-22,Option B,Canadienne,Kenitra,Espagne,19.5
Bernard,Elizabeth,m,2023-05-03,Option B,Américaine,Rabat,Tunisie,69.0
Khaled,Mathieu,m,2021-11-02,Option C,Japonaise,Londres,Mexique,48.0
Martin,Patricia,f,2021-07-22,Option C,Canadienne,Fès,UK,44.25
Jones,Antoine,m,2021-05-13,Option A,Française,Bruxelles,Allemagne,66.0
El Idrissi,Marc,m,2022-06-26,Option C,Marocaine,Berlin,Argentine,54.0
Johnson,Patricia,m,2020-03-21,Option C,Japonaise,Montreal,USA,54.0
Robert,Susan,m,2021-06-13,Option B,Marocaine,Madrid,Suisse,49.5
Williams,Marc,m,2021-10-22,Option C,Canadienne,Rabat,Australie,66.0
Richard,Karim,f,2022-03-11,Option C,Canadienne,Tokyo,Allemagne,17.25
Laurent,Barbara,f,2021-12-01,Option A,Canadienne,Agadir,USA,16.5
Williams,Karim,f,2023-02-08,Option A,Allemande,Marseille,Brésil,34.5
Richard,Hassan,f,2020-08-25,Option B,Japonaise,Genève,Belgique,28.5
Jones,Ikram,f,2022-08-27,Option B,Canadienne,Meknès,Espagne,22.5
Mohamed,Mathieu,m,2023-02-04,Option B,Américaine,Meknès,UK,90.0
Bernard,Chloé,f,2021-09-14,Option C,Canadienne,Montreal,Suisse,20.25
Jones,Antoine,m,2022-08-08,Option C,Française,Tanger,Espagne,64.5
Richard,Salma,f,2022-01-19,Option B,Française,Lisbonne,Japon,39.75
Bernard,Marc,f,2023-08-30,Option C,Allemande,Paris,Australie,19.5
Fathy,Sophie,m,2020-04-25,Option B,Allemande,Marrakech,France,90.0
Bernard,Sanae,f,2021-10-07,Option A,Canadienne,Rome,Allemagne,17.25
Garcia,James,m,2020-02-15,Option C,Américaine,New York,Espagne,94.5
Lahlou,Luc,m,2022-11-19,Option B,Américaine,Meknès,Australie,48.0
Benali,Michael,m,2020-04-16,Option B,Américaine,Montreal,UK,48.0
El Amrani,Chloé,f,2021-09-24,Option B,Canadienne,Fès,Australie,32.25
Garcia,William,f,2020-06-20,Option C,Allemande,Tokyo,Espagne,24.0
Jones,Louis,m,2021-07-12,Option A,Marocaine,Madrid,UK,46.5
Mohamed,Aicha,m,2020-01-01,Option C,Japonaise,Marrakech,Chine,57.0
El Amrani,Marc,f,2022-01-24,Option A,Américaine,Genève,Chine,26.25
Martin,Christopher,m,2023-10-29,Option C,Marocaine,Rabat,UK,42.0
El Idrissi,Sophie,f,2023-08-02,Option C,Marocaine,Rabat,France,27.75
El Amrani,Salma,m,2022-02-15,Option B,Française,Toulouse,UK,67.5
Garcia,Thomas,m,2022-12-18,Option C,Française,Londres,Mexique,28.5
Miller,Rachid,f,2023-05-17,Option B,Canadienne,Rabat,Suisse,27.0
Garcia,Elizabeth,m,2021-02-14,Option C,Marocaine,New York,Italie,88.5
Hassan,Laila,m,2020-06-22,Option C,Canadienne,Berlin,Argentine,36.0
Miller,Louis,m,2020-02-23,Option A,Française,Lyon,Italie,94.5
Bernard,Aicha,f,2021-07-31,Option A,Française,Bruxelles,Allemagne,43.5
Robert,Camille,f,2020-12-12,Option C,Canadienne,Meknès,Maroc,16.5
Smith,Sarah,m,2022-11-25,Option A,Marocaine,Tokyo,Inde,52.5
El Amrani,Aicha,m,2023-06-23,Option B,Japonaise,Madrid,Égypte,94.5
Martin,Julien,f,2021-03-06,Option C,Américaine,Casablanca,Japon,30.0
Martin,Patricia,f,2020-03-12,Option C,Espagnole,Marseille,UK,17.25
Martin,Michael,m,2020-09-01,Option A,Française,Fès,Allemagne,96.0
Rodriguez,Zineb,f,2020-10-12,Option B,Française,Bruxelles,Brésil,30.75
Martin,Julien,m,2021-12-08,Option B,Française,Madrid,UK,61.5
Martin,James,m,2020-03-27,Option B,Marocaine,Fès,Allemagne,42.0
Bernard,Karim,f,2022-06-14,Option C,Canadienne,Lyon,Australie,28.5
Chentouf,Camille,f,2022-04-22,Option C,Française,Tétouan,Espagne,36.75
Adel,Julien,m,2021-10-22,Option C,Française,Rabat,Argentine,87.0
Rodriguez,Julie,f,2021-10-09,Option B,Canadienne,Marseille,Mexique,27.0
Jones,Patricia,f,2020-12-21,Option A,Française,Rabat,Brésil,40.5
El Amrani,Julie,f,2023-10-31,Option C,Marocaine,New York,Italie,24.0
