nom,prenom,genre,Date_de_naissance,Lieu_de_naissance,nationalite,ville,pays,age
Mahmoud,Marie,f,2020-06-22,Option C,Américaine,Madrid,USA,48.0
Laurent,Jessica,f,2023-11-06,Option A,Américaine,Rome,Égypte,79.5
El Amrani,Luc,m,2022-06-29,Option B,Canadienne,Tanger,Allemagne,45.75
Miller,John,m,2022-09-14,Option A,Américaine,Montreal,Égypte,32.25
Wilson,John,m,2021-06-26,Option C,Marocaine,Tokyo,UK,22.5
Brown,Louis,m,2021-07-29,Option B,Marocaine,Montreal,Inde,24.75
Rodriguez,Aicha,m,2023-05-26,Option C,Japonaise,Tanger,Brésil,18.0
Ibrahim,Julien,m,2021-12-01,Option C,Française,Madrid,Inde,36.0
Jones,Fatima,f,2022-12-16,Option A,Française,New York,USA,69.0
Othmani,Antoine,f,2023-04-10,Option C,Canadienne,Rabat,Allemagne,94.5
Richard,Rachid,m,2021-08-05,Option B,Américaine,Bruxelles,Allemagne,21.75
Moreau,Ikram,f,2021-05-28,Option B,Américaine,Rabat,Australie,55.5
Jones,Marc,f,2023-01-06,Option A,Française,Genève,UK,55.5
Miller,Antoine,m,2023-01-16,Option B,Canadienne,Lyon,UK,32.25
Martin,Élodie,f,2022-10-14,Option A,Américaine,Marseille,Tunisie,90.0
Martin,Laila,m,2022-05-04,Option C,Canadienne,Bruxelles,UK,24.0
Williams,Nicolas,m,2020-02-11,Option C,Japonaise,Fès,Maroc,36.75
Jones,Susan,m,2021-01-25,Option A,Française,Lyon,Égypte,27.0
Dubois,Robert,m,2021-10-19,Option B,Française,Bruxelles,Australie,28.5
Miller,Mary,f,2022-03-09,Option A,Allemande,Rabat,Japon,82.5
Essadiq,Thomas,f,2021-08-29,Option C,Marocaine,Genève,UK,73.5
Benali,Sarah,m,2020-12-02,Option C,Marocaine,Berlin,Mexique,17.25
Essadiq,Samir,f,2022-04-07,Option A,Marocaine,Tétouan,Inde,70.5
Wilson,Omar,m,2023-05-13,Option C,Marocaine,Madrid,Canada,20.25
Garcia,Zineb,m,2022-07-18,Option C,Japonaise,Rabat,Allemagne,45.0
Dupont,Rachid,m,2021-08-05,Option B,Canadienne,Marrakech,Égypte,47.25
Fathy,Léa,m,2023-02-03,Option A,Française,Tanger,Égypte,18.0
Martin,Marc,m,2023-11-16,Option B,Française,Toulouse,Égypte,20.25
Miller,Thomas,m,2023-01-26,Option B,Française,Rabat,UK,36.75
Durand,Camille,f,2022-07-23,Option B,Française,Kenitra,Allemagne,88.5
Davis,Fatima,f,2022-06-09,Option C,Française,Rabat,Portugal,93.0
Fathy,Marwa,f,2020-12-17,Option C,Canadienne,Tanger,Tunisie,42.0
Hassan,Robert,f,2023-04-21,Option C,Canadienne,Montreal,Espagne,54.0
Smith,Mehdi,m,2022-07-13,Option C,Marocaine,New York,UK,36.0
Jones,Camille,f,2020-10-22,Option A,Française,Tanger,Mexique,90.0
El Amrani,Ali,f,2020-11-15,Option A,Française,Berlin,Italie,46.5
Smith,Joseph,f,2022-10-30,Option C,Américaine,Marrakech,Égypte,93.0
Mohamed,Ali,m,2020-09-19,Option A,Marocaine,Marrakech,Mexique,39.0
Benali,Karen,m,2021-09-15,Option C,Américaine,Rabat,Japon,23.25
El Amrani,Nour,m,2022-02-07,Option B,Espagnole,Rabat,Espagne,47.25
Martin,Jean,f,2021-01-16,Option B,Canadienne,Rome,Brésil,79.5
El Idrissi,Sarah,f,2021-04-21,Option A,Marocaine,Bordeaux,Espagne,37.5
Moreau,Michael,m,2020-09-15,Option C,Française,Rabat,Brésil,23.25
Dubois,Marc,f,2021-11-30,Option B,Française,Lisbonne,Australie,34.5
Miller,Marwa,f,2023-12-05,Option B,Canadienne,Marseille,UK,58.5
Richard,Elizabeth,f,2020-05-28,Option C,Française,Genève,USA,46.5
Smith,Antoine,m,2022-03-25,Option B,Américaine,Rabat,Australie,38.25
Benali,Julie,m,2021-04-20,Option C,Marocaine,Tanger,UK,22.5
Dubois,Mathieu,f,2023-09-27,Option C,Canadienne,Marseille,UK,75.0
Jones,Karen,f,2020-12-21,Option C,Canadienne,Rabat,USA,60.0
Robert,Jessica,f,2020-02-04,Option C,Marocaine,Marrakech,Chine,76.5
Dupont,Mary,f,2020-12-16,Option B,Allemande,Marseille,Allemagne,34.5
Smith,Mary,f,2022-05-25,Option C,Japonaise,Casablanca,Égypte,52.5
Bernard,Pierre,m,2022-09-06,Option B,Américaine,Bruxelles,Australie,21.75
