nom,prenom,genre,Date_de_naissance,Lieu_de_naissance,nationalite,ville,pays,age
Richard,Mehdi,M,2020-09-21,Option C,Japonaise,Montreal,Brésil,61
Richard,Omar,F,2021-10-14,Option A,Française,Bruxelles,Australie,22
Laurent,John,M,2022-05-25,Option C,Japonaise,Tanger,Espagne,45
Durand,Linda,F,2022-11-15,Option B,Japonaise,Bruxelles,Brésil,34
Garcia,Zineb,M,2020-10-02,Option C,Allemande,Fès,Inde,39
Essadiq,Christopher,M,2022-03-23,Option C,Japonaise,Bruxelles,Chine,27
Rodriguez,Jean,F,2020-05-12,Option B,Canadienne,Montreal,Brésil,45
Miller,Rachid,F,2022-10-19,Option B,Espagnole,Agadir,Brésil,32
Hassan,Hugo,F,2022-03-05,Option A,Canadienne,Lisbonne,Espagne,58
Wilson,Pierre,F,2022-09-24,Option C,Marocaine,Tokyo,Belgique,51
Martin,Sarah,F,2023-01-24,Option C,Allemande,Marseille,USA,20
Rodriguez,Amina,F,2022-12-01,Option B,Française,Rabat,Australie,63
Rodriguez,Laila,M,2022-12-23,Option C,Américaine,Rabat,Australie,49
Jones,Elizabeth,F,2022-08-30,Option B,Canadienne,Madrid,UK,23
Adel,Karim,F,2022-03-30,Option B,Française,Fès,Allemagne,62
Benali,Mehdi,M,2020-06-22,Option C,Marocaine,Fès,Suisse,29
Davis,Jessica,F,2021-11-12,Option A,Espagnole,Bruxelles,Allemagne,42
Jones,Mehdi,F,2022-10-02,Option A,Américaine,Bordeaux,Portugal,55
Richard,Claire,F,2022-06-05,Option C,Marocaine,Montreal,Japon,21
Richard,Pierre,M,2021-07-19,Option B,Française,Rabat,Égypte,65
Ibrahim,Patricia,F,2021-10-16,Option A,Marocaine,Marseille,Australie,49
El Haddad,Louis,M,2022-01-05,Option A,Marocaine,Lyon,Italie,38
Bernard,Mehdi,F,2023-05-12,Option C,Allemande,Lisbonne,Inde,29
Mahmoud,Marie,M,2020-04-06,Option B,Marocaine,Meknès,Belgique,59
Ibrahim,Julien,M,2022-06-13,Option C,Canadienne,Tétouan,Maroc,39
Smith,Sophie,M,2021-12-31,Option C,Marocaine,Paris,USA,61
El Amrani,James,F,2023-02-20,Option C,Française,Oujda,Tunisie,59
Rodriguez,Hugo,F,2021-06-14,Option B,Marocaine,Rabat,Allemagne,52
El Amrani,Mehdi,M,2021-08-28,Option C,Marocaine,Lisbonne,Allemagne,60
El Amrani,Linda,F,2023-01-01,Option B,Canadienne,Toulouse,USA,28
Jones,Nour,F,2021-03-10,Option C,Américaine,Kenitra,Japon,26
Mohamed,Susan,M,2020-07-20,Option B,Espagnole,Rabat,Égypte,57
Richard,Susan,F,2023-10-12,Option C,Canadienne,Rome,UK,21
Mohamed,Hassan,F,2020-05-08,Option B,Marocaine,Marseille,Portugal,58
Williams,Michael,M,2020-09-14,Option B,Japonaise,Kenitra,Égypte,30
Williams,Ahmed,M,2023-09-15,Option C,Canadienne,Marrakech,Italie,49
Durand,Nour,F,2020-07-08,Option A,Marocaine,Tanger,Allemagne,64
Laurent,Amina,M,2020-12-26,Option C,Marocaine,Kenitra,Argentine,37
Richard,Hassan,F,2022-05-24,Option C,Canadienne,Bruxelles,Allemagne,34
Smith,Ali,M,2022-11-08,Option A,Française,Bruxelles,Australie,27
Richard,Sophie,F,2022-12-22,Option A,Française,Genève,Chine,36
El Amrani,Emma,M,2021-12-17,Option A,Française,Montreal,UK,61
Durand,Barbara,F,2020-04-12,Option C,Française,Bruxelles,Australie,26
Brown,Léa,F,2023-03-29,Option B,Marocaine,Madrid,Japon,56
Jones,Julie,F,2021-11-03,Option C,Canadienne,Rabat,UK,38
El Idrissi,Susan,F,2022-11-04,Option C,Allemande,Madrid,Japon,34
Garcia,Louis,M,2020-09-05,Option C,Espagnole,Bordeaux,Chine,41
El Amrani,Fatima,M,2021-07-10,Option C,Espagnole,Montreal,Portugal,56
Johnson,Marwa,F,2021-06-20,Option C,Américaine,Rome,Australie,31
Othmani,Christopher,F,2023-02-17,Option B,Espagnole,Kenitra,Australie,28
Durand,Louis,F,2021-07-21,Option C,Japonaise,Tanger,Maroc,35
Ibrahim,Pierre,M,2021-02-09,Option C,Espagnole,Tanger,Japon,41
Wilson,Sophie,F,2021-12-04,Option C,Canadienne,Tokyo,Belgique,60
Smith,Laila,M,2020-10-04,Option B,Allemande,Berlin,Portugal,28
Othmani,Hugo,F,2020-02-06,Option B,Espagnole,Bruxelles,Chine,27
Jones,Jennifer,M,2021-04-12,Option B,Canadienne,Tanger,Égypte,39
Ibrahim,Élodie,M,2022-05-30,Option C,Canadienne,Genève,Espagne,50
Khaled,Jennifer,M,2022-07-26,Option C,Canadienne,Madrid,Belgique,58
Dubois,Joseph,F,2023-02-16,Option A,Française,Marseille,Espagne,48
Wilson,Omar,M,2020-01-15,Option A,Marocaine,Kenitra,Australie,33
Dubois,Mehdi,M,2023-08-18,Option B,Américaine,Kenitra,Allemagne,32
Benali,Antoine,M,2020-07-29,Option B,Américaine,Toulouse,Mexique,29
Jones,Karim,F,2020-04-16,Option C,Marocaine,Paris,Brésil,63
Rodriguez,Jessica,M,2022-12-29,Option B,Américaine,Lisbonne,Espagne,63
El Haddad,Christopher,F,2022-11-11,Option C,Espagnole,Rome,Mexique,53
El Amrani,Laila,F,2020-12-14,Option A,Marocaine,Tanger,Égypte,66
Jones,Karen,M,2021-11-20,Option C,Allemande,Genève,Allemagne,42
El Amrani,Ali,M,2022-11-18,Option B,Française,Montreal,UK,57
Mahmoud,Mehdi,M,2022-11-22,Option B,Française,Rabat,Australie,61
Jones,Léa,F,2020-12-08,Option A,Marocaine,Tanger,Égypte,62
Khaled,Karim,M,2020-07-28,Option C,Espagnole,Tétouan,Tunisie,28
Jones,Susan,M,2020-12-06,Option C,Française,Casablanca,Espagne,50
Laurent,Julien,F,2023-04-15,Option C,Canadienne,Toulouse,Tunisie,19
Williams,Karim,F,2021-12-04,Option B,Marocaine,Lisbonne,Australie,26
Dubois,Julie,F,2021-09-22,Option A,Espagnole,Lisbonne,Japon,40
Martin,Marie,M,2022-06-04,Option B,Canadienne,Madrid,UK,29
Adel,Pierre,M,2020-02-18,Option B,Américaine,Fès,France,31
Othmani,Mehdi,F,2022-11-03,Option C,Française,Rabat,Brésil,40
Laurent,Luc,F,2020-09-17,Option B,Canadienne,Rome,Espagne,35
Smith,Claire,F,2023-04-30,Option A,Allemande,Oujda,Australie,34
Robert,Élodie,F,2022-11-23,Option A,Américaine,Bordeaux,Égypte,38
El Idrissi,Fatima,F,2020-02-16,Option B,Canadienne,Kenitra,Espagne,48
Smith,Nicolas,F,2023-04-17,Option C,Canadienne,Lyon,Australie,38
Wilson,Marc,F,2023-07-01,Option C,Marocaine,Madrid,France,41
El Idrissi,Mary,F,2023-08-12,Option B,Canadienne,Rome,Espagne,32
Hassan,Marie,F,2023-03-23,Option B,Espagnole,Montreal,Australie,44
Bernard,Pierre,M,2021-02-02,Option B,Espagnole,Rabat,France,39
Richard,James,F,2022-11-20,Option C,Canadienne,Paris,Espagne,26
Williams,Ikram,F,2020-11-08,Option C,Marocaine,Paris,Maroc,22
Durand,Barbara,F,2020-08-31,Option A,Marocaine,Tanger,Mexique,62
Lahlou,Claire,F,2020-03-01,Option B,Espagnole,Rome,Allemagne,30
Dupont,Nicolas,M,2020-10-31,Option B,Allemande,Fès,Allemagne,50
Rodriguez,Barbara,F,2021-08-19,Option C,Française,Genève,Chine,60
Petit,Laila,F,2022-06-26,Option C,Marocaine,Fès,Japon,44
Fathy,Thomas,F,2022-06-13,Option A,Française,Casablanca,Brésil,24
Jones,Marwa,F,2020-01-07,Option C,Française,Lisbonne,UK,34
Fathy,Joseph,F,2020-11-25,Option C,Américaine,Rabat,Inde,21
Jones,Antoine,F,2023-12-05,Option C,Canadienne,Paris,Chine,22
Laurent,Jean,M,2022-08-07,Option B,Française,Kenitra,Espagne,60
Mouline,Hugo,M,2023-02-20,Option C,Espagnole,Marseille,Brésil,21
Petit,Jennifer,F,2022-07-28,Option B,Japonaise,Lisbonne,Belgique,55
Rodriguez,Sarah,F,2021-12-14,Option B,Japonaise,Bordeaux,Suisse,25
Richard,Hassan,F,2022-09-15,Option A,Française,Marseille,Chine,44
Dupont,Léa,M,2021-09-30,Option C,Marocaine,New York,UK,26
Williams,Antoine,M,2020-11-23,Option C,Marocaine,Toulouse,UK,49
