id,nom,prenom,genre,age,pays,ville,type_etablissement,etablissement,niveau,email,moyenne,absence,diplome
STU_001584,Bennani,Rachid,M,10,Allemagne,Málaga,Middle School,Oxford High School,4º Primaria,sofía.perez128@edu,14.362643526684147,7,Máster
STU_000103,Garcia,Charlotte,M,8,UK,Vancouver,Secondary School,Eton College,Grade 9,martín.garcía669@school.edu,16.613900549859345,10,High School Diploma
STU_001580,Martin,Jules,F,13,France,Oujda,Université,École Ibn Sina,3ème AC,marie.schmidt272@edu,11.696210154273752,9,Baccalauréat
STU_000902,Martín,Clara,F,6,USA,Los Angeles,Middle School,Stanford University,Grade 2,arthur.durand173@school.edu,16.18268807097402,5,Master
STU_000994,Sqalli,Sophie,F,5,Maroc,Oujda,Lycée,Lycée Henri IV,Master 1,ali.alaoui413@edu,13.510198484600389,9,Doctorat
STU_001318,González,Isabella,F,10,Espagne,Sevilla,Primaria,Einstein Grundschule,Year 2,ben.schneider851@edu,16.7581357870366,12,Doctorado
STU_001674,Taylor,Emma,M,7,Canada,Manchester,Elementary School,King's Primary School,Grade 12,salma.sqalli64@school.edu,15.183820017127896,9,Bachelor's Degree
STU_001956,Petit,Alexander,F,10,Maroc,Vancouver,Universidad,TU Berlin,2º Bachillerato,john.smith294@school.edu,13.225755851834016,9,Máster
STU_000773,Wagner,Paula,M,21,Allemagne,München,Gymnasium,St. Mary's Primary,2ème AC,rachid.chakir252@school.edu,12.392118550851125,7,Baccalauréat
STU_000002,García,Álvaro,F,9,Espagne,Valencia,Universidad,North High School,2º Curso,zineb.tazi929@school.edu,13.436311343585134,17,Licence
STU_001586,Fassi,Noah,M,15,Maroc,Rabat,Lycée,Lycée Moulay Youssef,Terminale,ethan.roy289@school.edu,15.418032704808406,5,Brevet
STU_000522,Hoffmann,Isabella,F,19,Allemagne,Leipzig,Grundschule,Kant-Gymnasium,Third Year,lea.leroy678@school.edu,13.623938420567137,5,Bachelor
STU_001245,Leroy,Mohamed,M,7,USA,Boston,École Primaire,UCL,Klasse 2,emily.evans650@school.edu,13.919074604769023,1,Licence
STU_001770,Martin,Emily,M,8,Canada,Oxford,University,Montreal High School,Grade 10,arthur.thomas567@school.edu,17.305886515335633,1,PhD
STU_000433,López,Youssef,F,19,Espagne,Zaragoza,Universidad,École Hassan II,1º Curso,mehdi.sqalli474@school.edu,16.76246648436669,7,Máster
STU_000216,Davies,Benjamin,M,9,USA,Ottawa,Elementary School,UBC,Year 2,sophia.garcia765@school.edu,11.880608791255236,3,Master's
STU_001565,Johnson,Olivia,M,8,UK,Vancouver,Secondary School,Pine Elementary,Grade 3,evelyn.rodriguez188@edu,13.223165542927239,7,A-Level
STU_000671,Brown,Inès,F,8,UK,Edmonton,University,McGill University,First Year,william.davies274@school.edu,15.212921252341287,5,A-Level
STU_001675,Williams,Ahmed,M,5,Espagne,Agadir,Secondary School,Westminster Primary,Grade 9,felix.schmidt227@school.edu,16.274235749575993,10,Baccalauréat
STU_000793,Moreau,Ikram,F,14,Maroc,Bordeaux,Lycée,Collège Averroès,2ème Bac,lukas.becker272@school.edu,12.725760650747912,9,Master's Degree
STU_000539,Jones,Daniel,M,6,Canada,Oxford,Primary School,Universität Hamburg,Grade 2,harry.brown135@school.edu,17.43854851696267,9,PhD
STU_001669,El Amrani,Lucas,M,8,Maroc,Frankfurt,École Primaire,Lycée Mohammed V,4º Primaria,liam.smith470@edu,13.176893026719684,6,Master
STU_001361,Weber,Manon,M,21,Maroc,Rabat,Université,Imperial College London,CM1,sophia.jones1@school.edu,13.341698082418276,14,Doctorat
STU_001798,Thomas,Camille,M,23,Maroc,Lille,Gymnasium,Université Cadi Ayyad,Second Year,mateo.gómez949@edu,16.029902052026397,8,Master
STU_001699,Dupont,Ava,M,7,USA,Boston,Elementary School,Westminster School,Grade 8,emily.roy866@school.edu,14.657381790019798,2,A-Level
STU_001736,Evans,Amelia,M,7,Canada,Edmonton,Secondary School,Oxford High School,Grade 4,alejandro.martín968@school.edu,13.042906470590061,6,Certificat Primaire
STU_001225,Schneider,Noah,F,6,Maroc,Sevilla,Lycée,Colegio Picasso,Klasse 8,ava.johnson571@edu,13.055333183933811,9,PhD
STU_000367,Williams,William,F,11,USA,Chicago,High School,McGill University,Klasse 3,daniel.rodriguez649@school.edu,16.23802827060105,1,Master's
STU_001585,García,Jules,M,6,Maroc,Málaga,Primaria,Lycée Mohammed V,2. Semester,louise.martin779@school.edu,14.05642554686626,5,Baccalauréat
STU_000495,Becker,Martín,M,14,France,Lille,École Primaire,University of Cambridge,Tronc Commun,noah.dupont784@school.edu,12.602198635812517,7,Master
STU_001916,Roy,Oliver,F,14,USA,Ottawa,Universität,McGill University,Grade 10,jonas.meyer218@school.edu,13.962437706935141,1,PhD
STU_001762,Fernández,Lina,F,17,Allemagne,München,Grundschule,Goethe-Gymnasium,1ère Bac,oliver.taylor901@edu,13.650524760235374,9,Abitur
STU_000367,Martínez,Matthew,F,15,USA,Frankfurt,Gymnasium,Collège Averroès,Grade 4,harper.smith995@school.edu,12.37995343291346,4,Master's Degree
STU_000045,Williams,Lukas,M,8,France,Frankfurt,High School,Lycée Condorcet,Klasse 5,emily.brown851@school.edu,16.218035549208768,8,Master
STU_001256,Bernard,Fatima,F,8,France,Lille,École Primaire,Collège Al Khawarizmi,Terminale,charlotte.anderson987@edu,11.837013208869855,1,Brevet
STU_001904,Schmidt,Ava,M,8,USA,Montreal,Elementary School,University of Cambridge,Grade 1,mia.jones197@school.edu,16.633070748177165,7,PhD
STU_001224,Tazi,Sanae,M,14,France,Oujda,École Primaire,École Élémentaire Victor Hugo,Freshman,charlie.wilson339@school.edu,13.139697452697032,13,Baccalauréat
STU_000031,Durand,Jonas,F,6,Allemagne,Marrakech,Secondary School,Franklin Middle School,Year 4,evelyn.rodriguez89@school.edu,12.806693410961294,9,PhD
STU_001042,Benjelloun,Louise,F,10,Allemagne,Bilbao,Primary School,Calgary High School,3º ESO,ines.simon769@school.edu,13.74162564390852,4,Master's Degree
STU_001572,Evans,Karim,M,11,Allemagne,Barcelona,Elementary School,Colegio Goya,Klasse 9,maría.fernández932@school.edu,16.490466161754046,3,PhD
STU_000046,Schmidt,Lina,F,5,Allemagne,Stuttgart,Universität,Collège Al Ghazali,Klasse 5,sophia.martin465@school.edu,16.596637327689816,12,Doktor
STU_000027,Williams,Mohamed,M,8,France,Strasbourg,Lycée,Colegio Goya,2ème Bac,jacob.thomas486@school.edu,16.966643649037373,0,PhD
STU_000693,Thomas,Valeria,F,15,Espagne,Paris,University,Collège Al Ghazali,Klasse 9,john.miller405@school.edu,15.742067126078446,7,Abitur
STU_000038,Hoffmann,Zineb,M,9,Canada,Houston,Elementary School,Lycée Henri IV,1ère année,luis.muller485@school.edu,11.667695228998221,7,Master
STU_000147,Meyer,Hugo,M,19,Maroc,Berlin,École Primaire,Washington Elementary,2ème année,sophia.rodriguez963@school.edu,17.18902453500356,8,Brevet
STU_001620,Evans,Mehdi,M,13,UK,Zaragoza,Middle School,Lincoln Elementary,Third Year,emily.macdonald707@school.edu,17.12704309445123,8,High School Diploma
STU_001190,Robert,Chloé,M,19,Maroc,Marrakech,Lycée,Lycée Hassan II,S3,john.brown488@school.edu,16.07820513737153,7,Master
STU_001627,López,Noah,M,5,USA,Manchester,Secondary School,Université Mohammed V,Grade 4,martín.martínez797@edu,12.276710333502624,19,PhD
STU_000145,Thomas,Salma,M,20,Allemagne,Oxford,Université,Einstein Grundschule,2ème Bac,jessica.smith764@school.edu,16.00364650658093,2,Licence
STU_001635,Schmidt,Finn,F,8,Allemagne,Los Angeles,Gymnasium,Goethe Grundschule,Klasse 9,ikram.idrissi716@school.edu,11.081719557138287,8,Doktor
STU_001706,Dupont,Oliver,M,8,Canada,Vancouver,Primary School,Imperial College London,Postgraduate,manon.petit165@school.edu,16.270997943999436,5,Licence
STU_000228,Idrissi,Ethan,M,12,France,Oujda,Université,Oak Elementary,1ère année,marie.hoffmann597@school.edu,15.729419555679131,2,Master
STU_001956,Rodríguez,Emilia,M,9,UK,Boston,Secondary School,UBC,Freshman,amina.alaoui551@edu,15.863126687704924,5,Bachelor's
STU_001094,Martin,Emma,M,8,Canada,Los Angeles,Gymnasium,Lycée Louis le Grand,Year 11,isabella.smith165@school.edu,13.073096763544381,9,Baccalauréat
STU_000215,Leroy,Salma,M,13,Maroc,Cambridge,Grundschule,Goethe-Gymnasium,Doctorat,alexander.smith732@school.edu,12.865080172911277,8,Máster
STU_000402,Fassi,Martina,F,14,Allemagne,Leipzig,Secundaria,Instituto Giner de los Ríos,1º Curso,leo.simon726@school.edu,12.315685272362451,2,Master
